Timestamp,Strengths,Firsts,Lasts,Minimums,Maximums
1541338403378,640273,657949,620731,583674,738168
1541338429244,640273,657949,620731,584314,738168
1541338440600,640273,658128,620731,584314,738168
1541338449070,640273,658128,620731,584314,738534
1541338458310,640273,658128,621118,584314,747815
1541338489130,640273,658128,623384,584314,747815
1541338614480,642109,659418,623384,585004,747985
1541338619323,642109,659418,623384,585004,747985
1541338697530,642109,659418,623384,585004,747985
1541338719930,642109,659418,623384,585004,747985
1541338746180,640273,658128,620731,585004,747815
1541338811247,640273,658128,620731,584314,747815
1541338892865,640273,659418,620731,584314,747815
1541338931490,638883,658410,613740,584314,746390
1541338959890,638883,658410,613740,585124,746390
1541338985700,638883,658410,613740,585124,746390
1541339068155,638883,653844,613740,585124,744527
1541339108872,638883,653844,613740,585124,744527
1541339133790,638883,653844,613740,585124,744527
1541339162490,638883,653844,613740,585124,744527
1541339259560,638883,653844,613740,585124,744527
1541339283397,638883,653844,613740,585124,744527
1541339290151,639036,655034,614421,585124,749127
1541339423303,639036,655034,614421,585124,749127
1541339490440,639036,655034,614421,585124,749127
1541339624353,639036,655034,614421,585124,750990
1541339665820,639036,655034,614421,585124,750990
1541339716380,640872,660094,617074,585814,751160
1541339726370,640872,660094,617074,585814,750990
1541339802326,640872,660094,617074,585814,750990
1541339838237,640872,660094,617074,585814,750990
1541339860108,646692,662820,617461,585814,751160
1541339905130,640872,660094,617074,585124,750990
1541339930824,639036,655034,614421,582841,749718
1541339940790,638883,653844,613740,582841,745118
1541339987820,638883,653844,613740,574839,745118
1541340049030,621490,643494,602026,542317,708880
1541340053580,621088,643465,601531,542317,707017
1541340079960,613806,643240,599739,542197,701823
1541340115661,613806,643240,599739,542197,701823
1541340188790,610856,643061,599739,542197,701013
1541340285179,618138,643286,601531,542197,706207
1541340358610,618138,643286,601531,542197,707017
1541340391897,617751,641996,601531,542197,704919
1541340416165,617751,641996,601531,542197,704919
1541340429640,620701,642175,602212,542197,709519
1541340441529,613419,641950,602212,542197,709519
1541340503165,613572,643140,602401,542197,704919
1541340533197,613572,643140,602401,542197,704919
1541340612090,613572,643140,602401,542737,704919
1541340620870,613335,642520,602401,542737,704919
1541340644240,612745,642520,600518,542670,707017
1541340676190,612745,642520,600518,542670,707017
1541340689800,620027,642745,601013,542670,708880
1541340748256,620027,642520,601013,542670,707017
1541340751660,620027,642520,601923,542670,701823
1541340765317,620027,642520,601923,542670,701823
1541340772461,620565,642827,602396,544010,706423
1541340798488,620565,642827,602396,544130,706423
1541340841100,620565,642827,602396,541380,706423
1541340844976,620565,642827,602396,540230,706423
1541340868236,621155,643447,604086,539135,707695
1541341223100,621155,643447,604086,539135,707695
1541341235256,621557,643447,604086,539135,707695
1541341239354,621736,643447,604086,540559,707695
1541341246261,621736,643447,604086,543309,706427
1541341279404,621736,643447,604086,544289,706427
1541341303201,621736,643447,604086,544289,697378
1541341355493,621736,643447,604086,543309,697378
1541341384420,621736,643447,604086,544289,697378
1541341393671,621146,642827,602396,541592,696106
1541341427175,621301,642827,603165,547089,699876
1541341429560,621301,642827,603165,541592,699876
1541341443896,621891,642827,604855,541592,699876
1541341447630,622137,642957,605240,547089,700186
1541341557660,622137,642957,605240,547089,700186
1541341589700,622137,642957,605240,547089,700186
1541341652536,623527,642957,611321,547089,700186
1541341669900,623527,642957,611321,554832,700186
1541341672024,623527,642957,611321,554832,700186
1541341679560,623527,642957,611321,554832,700186
1541341745600,623527,642957,611321,554832,700186
1541341786029,623527,642957,611321,554832,700186
1541341853524,623527,642957,611321,554832,700186
1541341962600,623527,642957,605240,547089,700186
1541341965645,624131,643182,611321,547089,702875
1541342114046,624131,643182,611321,547089,702875
1541342125470,624131,643182,611321,547089,702875
1541342153343,627139,643211,613750,554832,709235
1541342178778,627139,643211,613750,554832,709235
1541342187460,627695,643211,613750,554832,709235
1541342302679,627695,645628,611321,554832,715697
1541342304960,627695,645628,611321,554832,715697
1541342320340,627105,645628,609631,552904,715697
1541342366880,628331,645728,609713,556110,715753
1541342436630,628331,645728,609713,556110,715753
1541342474009,628331,647877,609713,556110,717616
1541342475280,628431,651530,609713,556110,723093
1541342480019,632354,651800,613704,557663,723729
1541342521176,632354,651800,613704,557663,721631
1541342524978,633564,652808,616630,557663,723056
1541342550313,633564,652808,616630,557663,723056
1541342561350,633564,652881,616630,557922,723056
1541342567270,633564,652881,616630,557922,723056
1541342572210,634154,652881,616630,557922,723056
1541342625280,640593,659320,619937,558603,725075
1541342646040,640593,659320,619937,558603,722385
1541342748969,640593,659320,619937,558344,722385
1541342810959,639383,658239,617011,549621,720960
1541342879409,632944,651800,613704,549621,718941
1541342890740,632944,658239,613704,548940,720960
1541342906001,632388,656090,607623,548940,719097
1541342907610,632388,656090,606713,546190,719097
1541342908424,631712,653673,606713,546190,717705
1541342943120,631712,653673,606713,546190,717705
1541342971830,631122,653408,606576,545255,714484
1541342986730,631122,653408,606576,545255,714484
1541342988226,637561,655389,609883,545936,715367
1541343027370,637561,658377,609883,546125,715367
1541343030770,637111,658320,609602,546063,715001
1541343033190,637561,658377,609883,546063,715367
1541343156050,638151,658642,610020,547060,718588
1541343173040,638151,659153,610020,547060,718588
1541343185100,638151,659153,610020,547060,718588
1541343248910,638151,659153,610020,547060,718588
1541343254600,637561,659153,609602,546063,718588
1541343255981,637561,659153,609602,546063,718588
1541343259320,637561,659153,609602,546063,718588
1541343283110,637561,659153,609602,546063,718588
1541343334198,638151,659153,609602,547060,715367
1541343370560,638151,659153,609602,547060,715367
1541343465952,638151,659153,609602,547060,715367
1541343471010,640132,659153,614665,547060,715996
1541343476450,643120,661195,615986,548687,716206
1541343542660,644232,661914,619673,552710,716206
1541343550700,641900,661885,619283,552680,711136
1541343559520,644232,661914,619673,552680,716206
1541343584230,644232,661914,619673,552710,716206
1541343623420,642639,654031,615596,548657,710926
1541343624132,642639,654031,615596,548687,710926
1541343676050,642049,654031,615596,548687,710560
1541343681830,643161,654750,615596,552710,710770
1541343711661,644814,654750,619283,553720,712054
1541343723126,645480,655420,620059,556058,712580
1541343741890,645480,655222,620059,556058,707450
1541343776440,646307,655222,620477,557644,707450
1541343780050,648639,655420,620477,557644,712580
1541343790420,647973,654750,619701,557644,712054
1541343808740,647973,654552,619701,557644,706924
1541343849070,647146,654041,619283,556058,698405
1541343860241,647146,654041,619283,558808,698405
1541343861590,647146,654041,619283,558808,698405
1541343918420,647146,654041,619283,558808,698405
1541343937465,647146,654041,619283,556470,698405
1541343969810,647146,654041,615596,556470,697121
1541343988679,647146,654041,615596,556470,697121
1541344011093,647146,654041,615596,556470,697121
1541344060360,647973,654552,616014,556470,705640
1541344074283,647973,654552,616014,555473,705640
1541344083935,645641,654525,615909,552723,704410
1541344093237,645641,654525,615909,555061,704410
1541344098750,645641,654525,615909,555031,704410
1541344141403,645288,654525,616014,555031,704410
1541344146144,645641,654552,616014,555061,705640
1541344210480,645288,654525,615909,555031,704410
1541344212736,642523,653806,614708,555031,704200
1541344232031,645288,654525,615909,555031,704410
1541344234054,645641,654525,616014,554431,704410
1541344271580,645641,651417,616014,554431,701721
1541344287232,645641,651417,615596,552684,702087
1541344304800,646307,652087,619283,553486,703371
1541344310830,646307,652087,619283,553486,694486
1541344398756,646307,652087,619283,553486,694486
1541344450190,645641,651417,615596,552684,693202
1541344472750,642876,651417,614395,550346,693202
1541344508045,642876,651417,614395,550346,693202
1541344522040,642876,651417,614795,545313,693672
1541344524230,642876,651417,614795,541160,693672
1541344550110,642049,650906,613806,541160,693386
1541344562710,642049,650906,613806,541160,693386
1541344592190,641696,650844,613726,541160,693258
1541344642069,634203,650804,613701,538590,693258
1541344662470,634203,650804,613701,538590,693258
1541344667140,629234,651474,613301,537813,693258
1541344669265,629234,651474,613301,538590,693258
1541344674325,629234,651474,613301,538590,693258
1541344674830,629234,651474,613301,543623,693258
1541344681438,629234,651474,613301,543623,693258
1541344696565,636727,651514,613326,544636,693386
1541344736620,636727,651514,613326,544636,693386
1541344746750,636277,651514,612855,544636,693298
1541344750058,636277,651514,612855,544636,693298
1541344771870,641246,653125,613255,544636,694112
1541344772693,641246,653125,613255,546974,694112
1541344788780,641246,653125,613255,548531,694112
1541344796300,641246,653125,612855,546193,693658
1541344933070,644011,653125,613255,541160,693658
1541344946380,644677,655105,614056,546193,694112
1541344983970,644677,655105,614056,546193,694112
1541344998620,644677,655105,614056,546193,694112
1541345028160,644677,655105,614056,546193,694112
1541345066100,645030,655167,614136,546193,696801
1541345084790,646491,656207,618599,548531,700427
1541345160780,646491,656207,618599,548531,700427
1541345167800,646491,656207,618599,548531,700427
1541345192161,646491,656207,618599,548531,700427
1541345201811,646491,656207,618599,548531,700427
1541345205368,646300,655885,617500,547816,697746
1541345240860,646491,656207,618599,547816,700427
1541345271832,646941,656718,619070,548531,700515
1541345284529,647768,658517,620059,548531,700801
1541345286168,647768,658517,620059,548531,700801
1541345314426,649238,661492,620614,549333,704653
1541345453316,651570,664600,620654,549933,704653
1541345472113,651570,664600,620654,549933,704653
1541345482004,649238,661492,620654,549333,704653
1541345486458,649238,661492,620654,553486,704653
1541345523089,650923,662597,622175,554546,706361
1541345668895,650923,662597,622175,554546,706361
1541345671257,650923,662597,622175,555146,706361
1541345679910,649238,661492,620654,558286,704653
1541345759759,647768,658517,620654,555146,704653
1541345774164,650100,658517,620654,555146,704653
1541345781640,650776,661625,621914,557926,701964
1541345790160,650776,661625,621914,557926,701964
1541345813426,650776,658517,621914,557926,701836
1541345895686,650776,658517,621914,557926,701836
1541345898800,651163,659337,622332,558140,701836
1541345995773,651163,659337,622332,557080,701836
1541346071940,651163,659337,622332,563301,701836
1541346075277,649702,658297,622273,562499,697984
1541346118580,649702,658297,622273,562499,697984
1541346142730,649026,658235,621013,556278,697881
1541346151450,649533,658235,621437,556278,706766
1541346154600,649026,657415,621013,556278,697881
1541346154890,649533,658235,621437,557811,697881
1541346169177,649533,658235,621437,557811,697881
1541346175100,650994,659275,621437,557811,697881
1541346217990,652464,662250,621496,558613,701733
1541346225860,652464,662250,621072,557080,701733
1541346231590,652464,662250,621072,557080,701733
1541346244841,652464,662250,621072,558140,701733
1541346276020,652464,662250,621072,558140,701733
1541346324370,652464,662250,621072,557080,701733
1541346369719,652464,662250,621072,557080,701733
1541346370740,652464,662250,621072,557080,701733
1541346436400,650994,659275,621013,550932,697881
1541346463160,653613,662450,621437,552465,709987
1541346463795,654289,662512,622697,552465,710090
1541346488354,654289,662512,622697,552465,710090
1541346490089,653684,662450,622697,552465,710090
1541346490340,653684,662450,622697,552465,710090
1541346520613,654289,662450,630648,558686,710090
1541346588063,654289,662512,622697,551915,710218
1541346617010,652828,661472,622697,551915,710218
1541346653330,652828,661472,622697,549890,710218
1541346662510,650209,658297,622273,548357,710218
1541346684710,652828,661472,622697,549890,712848
1541346701677,652828,661472,622697,549890,712848
1541346783632,652828,661472,622697,548357,712848
1541346855550,654289,662512,622756,550382,718408
1541346856200,654289,662512,622756,550382,718408
1541346865060,654289,662512,622756,553240,718408
1541346870690,654289,662512,622756,553240,715778
1541346927830,654289,662512,622756,553240,715778
1541346934057,654289,662512,622756,553240,715778
1541346968520,654289,662512,622756,550382,715778
1541346983180,654289,662512,630707,557153,715778
1541346983979,654715,663923,633309,558062,718467
1541347063583,654715,663923,633309,559655,718467
1541347071653,654715,663923,633309,562513,718467
1541347144400,654715,663923,633309,559655,718467
1541347207430,648375,656345,630383,558674,695386
1541347295446,649715,658069,631046,561974,696616
1541347304202,649715,658069,631046,561974,696616
1541347305825,649715,658069,631046,564832,696616
1541347355030,649715,658069,631046,564832,696616
1541347374250,649715,657029,631046,562382,696616
1541347422471,648254,655049,631046,561974,696496
1541347470089,646914,653325,630383,561974,695266
1541347483420,648254,655049,630383,562091,695266
1541347510980,649715,657029,631904,562091,695386
1541347536016,649715,657029,631904,562499,695266
1541347543580,649715,657029,633170,562499,695266
1541347565320,649715,657029,633170,562499,695266
1541347605187,650532,659113,634073,562499,697896
1541347624683,650532,659113,634073,562499,697896
1541347672112,650532,659113,634073,562499,697896
1541347730400,650532,659113,634073,562499,697896
1541347766712,651652,661757,634073,562499,699126
1541347784791,651652,661757,634073,562499,699126
1541347787648,653166,661757,634373,560966,699126
1541347796443,653166,661757,634373,560966,699376
1541347828272,652046,659113,631771,560966,699126
1541347829903,652046,659113,631771,560966,699126
1541347845091,652046,659113,631771,560966,699126
1541347879269,653166,661757,634373,560976,699376
1541347883110,653569,662869,638200,561026,700248
1541347897867,653569,662869,638200,561026,700248
1541347953119,654536,662869,638647,561026,700248
1541347986926,655039,663909,639187,563476,700368
1541348001799,653525,661825,638887,563476,700368
1541348043070,653525,661825,638887,563476,700368
1541348048230,652708,660518,638628,563476,697738
